;artists;Artist_origin;Song_Decade;music_key;Title;popularity;Language Specific Popularity
25692;Jefferson Airplane;USA;1960;C;The Other Side of This Life - Live at the Fillmore West, San Francisco, CA - October 1968;28;31.0
25693;Jefferson Airplane;USA;1960;C;Volunteers - Remastered;45;49.0
25694;Jefferson Airplane;USA;1960;C;Young Girl Sunday Blues;31;34.0
25695;Jefferson Airplane;USA;1960;D;And I Like It;24;27.0
25696;Jefferson Airplane;USA;1960;D;Blues from an Airplane;35;38.0
25697;Jefferson Airplane;USA;1960;D;Come Back Baby - Live at The Woodstock Music & Art Fair, August 16, 1969;30;33.0
25698;Jefferson Airplane;USA;1960;D;Embryonic Journey;52;56.0
25699;Jefferson Airplane;USA;1960;D;Eskimo Blue Day - Remastered;34;37.0
25700;Jefferson Airplane;USA;1960;D;Go To Her - Version One;20;22.0
25701;Jefferson Airplane;USA;1960;D;Greasy Heart;29;32.0
25702;Jefferson Airplane;USA;1960;D;Ice Cream Phoenix;20;22.0
25703;Jefferson Airplane;USA;1960;D;My Best Friend;39;42.0
25704;Jefferson Airplane;USA;1960;D;Plastic Fantastic Lover;38;41.0
25705;Jefferson Airplane;USA;1960;D;Rejoyce;28;31.0
25706;Jefferson Airplane;USA;1960;D;Spare Chaynge;20;22.0
25707;Jefferson Airplane;USA;1960;D;The Ballad of You & Me & Pooneil;31;34.0
25708;Jefferson Airplane;USA;1960;D;Today;60;65.0
25709;Jefferson Airplane;USA;1960;D;Uncle Sam Blues - Live at The Woodstock Music & Art Fair, August 17, 1969;27;30.0
25710;Jefferson Airplane;USA;1960;D;White Rabbit;69;74.0
25711;Jefferson Airplane;USA;1960;D;Wild Tyme;21;23.0
25713;Jefferson Airplane;USA;1960;E;Come Back Baby;33;36.0
33281;Little Eva;UK;1960;C;Where Do I Go;12;14.0
33647;Louis Armstrong;UK;1960;C;Whistle While You Work;29;32.0
33645;Louis Armstrong;UK;1960;C;It's Been A Long, Long Time;36;39.0
46909;The Beach Boys;UK;1960;C#,Db;Heroes And Villains - Remastered;54;58.0
46908;The Beach Boys;UK;1960;C#,Db;Help Me, Rhonda - Remastered;85;93.0
46907;The Beach Boys;UK;1960;C#,Db;Help Me, Rhonda (Stereo);42;46.0
46906;The Beach Boys;UK;1960;C#,Db;Help Me, Rhonda (Mono);45;49.0
46905;The Beach Boys;UK;1960;C#,Db;Good Vibrations - Live At Daughters Of The American Revolution Constitution Hall, Washington DC/1967;20;22.0
46904;The Beach Boys;UK;1960;C#,Db;Good Vibrations (Mono);26;29.0
46903;The Beach Boys;UK;1960;C#,Db;Busy Doin' Nothin' - Remastered 2001;29;32.0
46902;The Beach Boys;UK;1960;C#,Db;Boogie Woodie (Stereo);16;18.0
46901;The Beach Boys;UK;1960;C#,Db;And Your Dream Comes True - Remastered;21;23.0
46900;The Beach Boys;UK;1960;C;Spirit of America (Stereo);14;16.0
46899;The Beach Boys;UK;1960;C;Spirit of America (Mono);16;18.0
46898;The Beach Boys;UK;1960;C;Spirit Of America - Remastered 2001;18;20.0
46897;The Beach Boys;UK;1960;C;Pet Sounds - Remastered;44;48.0
46896;The Beach Boys;UK;1960;C;Pet Sounds;30;33.0
46895;The Beach Boys;UK;1960;C;Noble Surfer - Remastered 2001;24;27.0
46894;The Beach Boys;UK;1960;C;Noble Surfer (Stereo);18;20.0
46893;The Beach Boys;UK;1960;C;Noble Surfer (Mono);21;23.0
46892;The Beach Boys;UK;1960;C;Monster Mash - Live / 2001 Remastered;12;14.0
46891;The Beach Boys;UK;1960;C;Lonely Sea (Mono);26;29.0
46890;The Beach Boys;UK;1960;C;Hully Gully - Remastered 2001;21;23.0
46889;The Beach Boys;UK;1960;C;Here Comes The Night - Remastered 2001;27;30.0
46888;The Beach Boys;UK;1960;C;Do You Remember (Stereo);22;24.0
46887;The Beach Boys;UK;1960;C;Do You Remember (Mono);25;28.0
46886;The Beach Boys;UK;1960;C;Diamond Head - Remastered 2001;25;28.0
46885;The Beach Boys;UK;1960;C;Caroline No - Live At Paramount Theatre, NYC/1993;17;19.0
46884;The Beach Boys;UK;1960;B;You Still Believe in Me - Stereo;31;34.0
46883;The Beach Boys;UK;1960;B;You Still Believe In Me - Remastered;114;124.0
46882;The Beach Boys;UK;1960;B;You Still Believe In Me - Mono / Remastered 2012;33;36.0
46881;The Beach Boys;UK;1960;B;You Still Believe In Me - Mono;32;35.0
46910;The Beach Boys;UK;1960;C#,Db;Heroes and Villains (Mono);23;25.0
33646;Louis Armstrong;UK;1960;C;Moon River;53;57.0
46911;The Beach Boys;UK;1960;C#,Db;Heroes and Villains (Stereo);28;31.0
46913;The Beach Boys;UK;1960;C#,Db;In My Room (Stereo);26;29.0
33644;Louis Armstrong;UK;1960;C;I Guess I'll Get The Papers And Go Home;26;29.0
33643;Louis Armstrong;UK;1960;C;Hey Look Me Over;24;27.0
33642;Louis Armstrong;UK;1960;C;Hellzapoppin' - Single Version;26;29.0
33641;Louis Armstrong;UK;1960;C;Hello, Dolly!;55;60.0
33640;Louis Armstrong;UK;1960;C;Cheesecake;25;28.0
33639;Louis Armstrong;UK;1960;C;A Lot Of Livin' To Do;25;28.0
33638;Louis Armstrong;UK;1960;C;(What Did I Do To Be So) Black And Blue;16;18.0
33637;Louis Armstrong;UK;1960;A#,Bb;Zip-A-Dee-Doo-Dah;31;34.0
33636;Louis Armstrong;UK;1960;A#,Bb;Tin Roof Blues;20;22.0
33635;Louis Armstrong;UK;1960;A#,Bb;There Must Be A Way;28;31.0
33634;Louis Armstrong;UK;1960;A#,Bb;Heigh-Ho (The Dwarf's Marching Song);21;23.0
33633;Louis Armstrong;UK;1960;A;The Home Fire;31;34.0
33632;Louis Armstrong;UK;1960;A;Mame;19;21.0
25726;Jefferson Airplane;USA;1960;F#,Gb;She Has Funny Cars;44;48.0
25727;Jefferson Airplane;USA;1960;F#,Gb;Somebody to Love - Live at The Woodstock Music & Art Fair, August 17, 1969;41;45.0
25728;Jefferson Airplane;USA;1960;G;Comin' Back to Me;45;49.0
25729;Jefferson Airplane;USA;1960;G;D. C. B. A.-25;36;39.0
25730;Jefferson Airplane;USA;1960;G;In Time;30;33.0
25731;Jefferson Airplane;USA;1960;G;Lather;35;38.0
25732;Jefferson Airplane;USA;1960;G;Let Me In;28;31.0
25733;Jefferson Airplane;USA;1960;G;Let Me In - Original Uncensored/Deleted Version;19;21.0
25734;Jefferson Airplane;USA;1960;G;Run Around;23;25.0
25735;Jefferson Airplane;USA;1960;G;Run Around - Original Uncensored Version;18;20.0
25736;Jefferson Airplane;USA;1960;G;Watch Her Ride;27;30.0
25737;Jefferson Airplane;USA;1960;G;We Can Be Together - Remastered;28;31.0
25738;Jefferson Airplane;USA;1960;G;White Rabbit - Mono Single Version;36;39.0
46916;The Beach Boys;UK;1960;C#,Db;Little Honda (Mono);29;32.0
46915;The Beach Boys;UK;1960;C#,Db;Little Deuce Coupe (Mono);49;55.0
46914;The Beach Boys;UK;1960;C#,Db;Let The Wind Blow - Remastered 2001;25;28.0
46912;The Beach Boys;UK;1960;C#,Db;In My Room (Mono);27;30.0
33280;Little Eva;UK;1960;C;Some Kinda Wonderful;21;23.0
33279;Little Eva;UK;1960;C;Breaking up Is Hard to Do;23;25.0
33278;Little Eva;UK;1960;A#,Bb;He Is the Boy;19;21.0
43570;Sam Cooke;UK;1960;A#,Bb;Cousin Of Mine;20;22.0
43571;Sam Cooke;UK;1960;A#,Bb;Meet Me At Mary's Place;75;83.0
43572;Sam Cooke;UK;1960;A#,Bb;Movin' and a'Groovin';38;41.0
43573;Sam Cooke;UK;1960;A#,Bb;Shake, Rattle and Roll;25;28.0
43574;Sam Cooke;UK;1960;A#,Bb;Soothe Me;38;41.0
43575;Sam Cooke;UK;1960;A#,Bb;Sugar Dumpling;45;50.0
43576;Sam Cooke;UK;1960;A#,Bb;That's It - I Quit - I'm Movin' On;42;46.0
43577;Sam Cooke;UK;1960;A#,Bb;Too Young;16;18.0
43578;Sam Cooke;UK;1960;A#,Bb;Twistin' in the Old Town Tonight;23;25.0
43579;Sam Cooke;UK;1960;B;Feel It (Don't Fight It) - Live;40;44.0
43580;Sam Cooke;UK;1960;B;Having a Party - Live;31;34.0
43581;Sam Cooke;UK;1960;B;Nothing Can Change This Love - Live;32;35.0
43582;Sam Cooke;UK;1960;B;Somebody Have Mercy - Live;30;33.0
43583;Sam Cooke;UK;1960;B;Soul - Hidden Track;28;31.0
43584;Sam Cooke;UK;1960;C;Bring It On Home To Me;63;68.0
43585;Sam Cooke;UK;1960;C;Bring It on Home to Me - Live;37;40.0
43586;Sam Cooke;UK;1960;C;Don't Get Around Much Any More;22;24.0
46798;The Beach Boys;UK;1960;A;The Warmth of the Sun (Stereo);18;20.0
46797;The Beach Boys;UK;1960;A;The Warmth of the Sun (Mono);19;21.0
46796;The Beach Boys;UK;1960;A;The Warmth Of The Sun - Remastered;31;34.0
46795;The Beach Boys;UK;1960;A;Ten Little Indians - Remastered 2001;25;28.0
26686;Jimmy Page;France (France);1960;C;She Just Satisfies;20;25.0
26688;Jimmy Scott;UK;1960;A#,Bb;Sometimes I Feel Like A Motherless Child;16;18.0
26689;Jimmy Scott;UK;1960;F;An Evening In Paradise;11;13.0
26691;Jimmy Scott;USA;1960;A#,Bb;Sometimes I Feel Like A Motherless Child;16;18.0
26692;Jimmy Scott;USA;1960;F;An Evening In Paradise;11;13.0
46794;The Beach Boys;UK;1960;A;Surfin' Safari - Remastered;51;55.0
46793;The Beach Boys;UK;1960;A;Surfers Rule - Remastered 2001;21;23.0
46792;The Beach Boys;UK;1960;A;Surfer's Rule (Stereo);17;19.0
43569;Sam Cooke;UK;1960;A#,Bb;Chain Gang - Live;32;35.0
46791;The Beach Boys;UK;1960;A;Surfer's Rule (Mono);18;20.0
43568;Sam Cooke;UK;1960;A#,Bb;A Whole Lotta Woman;39;42.0
43566;Sam Cooke;UK;1960;A;Yeah Man;13;15.0
43392;Roy Clark;USA;1960;A;Drifter's Polka;15;17.0
43393;Roy Clark;USA;1960;A#,Bb;Weepin' Willow Twist;13;15.0
43394;Roy Clark;USA;1960;C;A Maiden's Prayer;12;14.0
43395;Roy Clark;USA;1960;C;In The Mood;15;17.0
43396;Roy Clark;USA;1960;C#,Db;Texas Twist;15;17.0
43397;Roy Clark;USA;1960;G;Twelfth Street Rag;30;33.0
26263;Jim Reeves;USA;1960;G;The One That Got Away;20;22.0
26264;Jim Reeves;USA;1960;G;Waltzing on Top of the World;37;40.0
26265;Jim Reeves;USA;1960;G#,Ab;After Loving You;22;24.0
46802;The Beach Boys;UK;1960;A;Wake The World - Remastered 2001;27;30.0
46801;The Beach Boys;UK;1960;A;Vegetables - 2001 Remaster;37;40.0
46800;The Beach Boys;UK;1960;A;Vegetables (Stereo);18;20.0
46799;The Beach Boys;UK;1960;A;Vegetables (Mono);28;31.0
43534;Said El Ghamidi;France (France);1960;A;Le figuier;10;13.0
43535;Said El Ghamidi;France (France);1960;A;Le très haut;10;13.0
43536;Said El Ghamidi;France (France);1960;A;Les anges qui arrachent les âmes;11;14.0
43537;Said El Ghamidi;France (France);1960;G;L'aube naissante;12;15.0
43538;Said El Ghamidi;France (France);1960;G;La destinée;10;13.0
43539;Said El Ghamidi;France (France);1960;G;Le jour montant;10;13.0
43556;Sam Cooke;UK;1960;A;Another Saturday Night;122;133.0
43557;Sam Cooke;UK;1960;A;Band Introductions - Live;20;22.0
43558;Sam Cooke;UK;1960;A;I Lost Everything;23;25.0
43559;Sam Cooke;UK;1960;A;I Wish You Love;48;52.0
43560;Sam Cooke;UK;1960;A;Little Red Rooster;65;71.0
43561;Sam Cooke;UK;1960;A;Nothing Can Change This Love;94;102.0
43562;Sam Cooke;UK;1960;A;Rome (Wasn't Built In A Day);59;65.0
43563;Sam Cooke;UK;1960;A;Send Me Some Lovin';41;45.0
43564;Sam Cooke;UK;1960;A;They Call the Wind Maria;22;24.0
43565;Sam Cooke;UK;1960;A;Twistin' the Night Away;61;66.0
43567;Sam Cooke;UK;1960;A#,Bb;A Change Is Gonna Come;189;205.0
43387;Roy Clark;UK;1960;G;Twelfth Street Rag;30;33.0
43587;Sam Cooke;UK;1960;C;Fool's Paradise;27;30.0
43589;Sam Cooke;UK;1960;C;If I Had A Hammer (The Hammer Song) - Live;32;35.0
43592;Sam Cooke;UK;1960;C;Long, Long Ago;15;17.0
46781;The Beach Boys;UK;1960;A;Little Girl (You're My Miss America) - Mono/Remastered 2001;26;29.0
46780;The Beach Boys;UK;1960;A;Let's Go Trippin' - Remastered 2001;24;27.0
46779;The Beach Boys;UK;1960;A;Let's Go Trippin' (Stereo);18;20.0
46778;The Beach Boys;UK;1960;A;Let's Go Trippin' (Mono);20;22.0
46777;The Beach Boys;UK;1960;A;I Get Around (Stereo) - Remastered;36;39.0
46776;The Beach Boys;UK;1960;A;I Get Around (Mono);66;71.0
46775;The Beach Boys;UK;1960;A;Honky Tonk - Remastered 2001;24;27.0
46774;The Beach Boys;UK;1960;A;Honky Tonk (Stereo);18;20.0
46773;The Beach Boys;UK;1960;A;Honky Tonk (Mono);21;23.0
46772;The Beach Boys;UK;1960;A;Here Today - Stereo;28;31.0
46771;The Beach Boys;UK;1960;A;Here Today - Remastered;68;75.0
43593;Sam Cooke;UK;1960;C;Lost and Lookin';44;48.0
43594;Sam Cooke;UK;1960;C;Medley: It's All Right / For Sentimental Reasons - Live;43;47.0
46770;The Beach Boys;UK;1960;A;Here Today - Mono;29;32.0
46769;The Beach Boys;UK;1960;A;Here Today;31;34.0
46768;The Beach Boys;UK;1960;A;Heads You Win, Tails I Lose - Mono/Remastered 2001;24;27.0
46767;The Beach Boys;UK;1960;A;God Only Knows - Remastered;40;44.0
46766;The Beach Boys;UK;1960;A;God Only Knows - Live At Michigan State University/1966;30;33.0
46765;The Beach Boys;UK;1960;A;God Only Knows - Live At Jamaican World Music Festival, Montego Bay, Jamaica/1982;18;20.0
46764;The Beach Boys;UK;1960;A;God Only Knows - Live At Daughters Of The American Revolution Constitution Hall, Washington DC/1967;18;20.0
46763;The Beach Boys;UK;1960;A;God Only Knows - Live At Carnegie Hall, New York/1972;18;20.0
46762;The Beach Boys;UK;1960;A;God Only Knows;37;40.0
46761;The Beach Boys;UK;1960;A;Girls On the Beach (Stereo);27;30.0
46760;The Beach Boys;UK;1960;A;Girl Don't Tell Me - Remastered;31;34.0
46759;The Beach Boys;UK;1960;A;Girl Don't Tell Me (Stereo);16;18.0
46758;The Beach Boys;UK;1960;A;Girl Don't Tell Me (Mono);19;21.0
46757;The Beach Boys;UK;1960;A;Finders Keepers - Remastered 2001;24;27.0
46756;The Beach Boys;UK;1960;A;Don't Back Down (Stereo);22;24.0
43591;Sam Cooke;UK;1960;C;Little Girl;25;28.0
43588;Sam Cooke;UK;1960;C;Frankie And Johnny - Live;24;27.0
26802;Joe Dassin;France (France);1960;G#,Ab;Pauvre doudou;30;37.0
26800;Joe Dassin;France (France);1960;D;Siffler sur la colline;52;63.0
46790;The Beach Boys;UK;1960;A;South Bay Surfer (Stereo);17;19.0
46789;The Beach Boys;UK;1960;A;Sloop John B - Live At Universal Studios, Universal City, CA/1989;18;20.0
46788;The Beach Boys;UK;1960;A;Sloop John B - Live At Michigan State University/1966;20;22.0
46787;The Beach Boys;UK;1960;A;Shut Down, Part II - Remastered 2001;19;21.0
46786;The Beach Boys;UK;1960;A;Shut Down, Part II (Mono);13;15.0
26752;Joe Bataan;UK;1960;A;Subway Joe;33;36.0
26753;Joe Bataan;UK;1960;A;Under The Street Lamp;24;27.0
26754;Joe Bataan;UK;1960;B;Magic Rose;18;20.0
26755;Joe Bataan;UK;1960;C;Ordinary Guy;19;21.0
26756;Joe Bataan;UK;1960;C#,Db;Young, Gifted And Brown;21;23.0
26757;Joe Bataan;UK;1960;D;I'll Be Sweeter Tomorrow (Than I Was Today);21;23.0
26758;Joe Bataan;UK;1960;E;My Cloud;29;32.0
26759;Joe Bataan;UK;1960;F#,Gb;Special Girl;22;24.0
46785;The Beach Boys;UK;1960;A;Never Learn Not To Love - Remastered 2001;31;34.0
26773;Joe Bataan;USA;1960;A;Subway Joe;33;36.0
26774;Joe Bataan;USA;1960;A;Under The Street Lamp;24;27.0
26775;Joe Bataan;USA;1960;B;Magic Rose;18;20.0
26776;Joe Bataan;USA;1960;C;Ordinary Guy;19;21.0
26777;Joe Bataan;USA;1960;C#,Db;Young, Gifted And Brown;21;23.0
26778;Joe Bataan;USA;1960;D;I'll Be Sweeter Tomorrow (Than I Was Today);21;23.0
26779;Joe Bataan;USA;1960;E;My Cloud;29;32.0
26780;Joe Bataan;USA;1960;F#,Gb;Special Girl;22;24.0
46784;The Beach Boys;UK;1960;A;Louie Louie - Remastered 2001;23;25.0
46783;The Beach Boys;UK;1960;A;Louie Louie (Stereo);13;15.0
46782;The Beach Boys;UK;1960;A;Louie Louie (Mono);12;14.0
26796;Joe Dassin;France (France);1960;A;La bande a bonnot;31;38.0
26797;Joe Dassin;France (France);1960;A;Mon village du bout du monde;34;41.0
26798;Joe Dassin;France (France);1960;A#,Bb;Le chemin de papa;27;33.0
43590;Sam Cooke;UK;1960;C;Just For You;48;53.0
26801;Joe Dassin;France (France);1960;E;Les Champs-Elysées;62;75.0
28304;Johnny Cash;UK;1960;F;Mr. Lonesome;14;16.0
43386;Roy Clark;UK;1960;C#,Db;Texas Twist;15;17.0
43384;Roy Clark;UK;1960;C;A Maiden's Prayer;12;14.0
26026;Jerry Lee Lewis;USA;1960;G;Good Golly, Miss Molly - Live At The Star-Club, Hamburg, Germany/1964;29;32.0
26027;Jerry Lee Lewis;USA;1960;G;I'll Make It All Up To You - 1964 Version;28;31.0
26028;Jerry Lee Lewis;USA;1960;G;Long, Tall Sally - Live At The Star-Club, Hamburg, Germany/1964;29;32.0
46855;The Beach Boys;UK;1960;B;Carl's Big Chance (Mono);24;27.0
46854;The Beach Boys;UK;1960;B;California Girls - Remix/Remastered;63;68.0
46853;The Beach Boys;UK;1960;B;California Girls (Stereo);27;30.0
46852;The Beach Boys;UK;1960;B;California Girls (Mono);26;29.0
46851;The Beach Boys;UK;1960;B;Barbara Ann (Stereo) - Remastered;26;29.0
46850;The Beach Boys;UK;1960;B;All Summer Long (Stereo);30;33.0
46849;The Beach Boys;UK;1960;B;All Summer Long (Mono);51;55.0
46848;The Beach Boys;UK;1960;B;"""Cassius"" Love Vs. ""Sonny"" Wilson (Mono)";12;14.0
46847;The Beach Boys;UK;1960;A#,Bb;With Me Tonight - 2001 Remaster;32;35.0
46846;The Beach Boys;UK;1960;A#,Bb;There's No Other (Like My Baby) - Remastered;19;21.0
46845;The Beach Boys;UK;1960;A#,Bb;Please Let Me Wonder - Remastered;33;36.0
46844;The Beach Boys;UK;1960;A#,Bb;Our Prayer - Remastered 2001;24;27.0
46843;The Beach Boys;UK;1960;A#,Bb;Our Car Club - Remastered 2001;33;37.0
46842;The Beach Boys;UK;1960;A#,Bb;Our Car Club (Stereo);27;31.0
46841;The Beach Boys;UK;1960;A#,Bb;Our Car Club (Mono);32;36.0
46840;The Beach Boys;UK;1960;A#,Bb;Let's Go Away For Awhile - Mono;30;33.0
46839;The Beach Boys;UK;1960;A#,Bb;Let's Go Away For Awhile;32;35.0
46838;The Beach Boys;UK;1960;A#,Bb;I Was Made To Love Her - Remastered 2001;30;33.0
46837;The Beach Boys;UK;1960;A#,Bb;I Know There's An Answer - Stereo;28;31.0
46836;The Beach Boys;UK;1960;A#,Bb;I Know There's An Answer - Remastered;113;123.0
46835;The Beach Boys;UK;1960;A#,Bb;I Know There's An Answer - Mono;29;32.0
46834;The Beach Boys;UK;1960;A#,Bb;I Know There's An Answer - Instrumental Stereo Mix;20;22.0
46833;The Beach Boys;UK;1960;A#,Bb;I Know There's An Answer;31;34.0
46832;The Beach Boys;UK;1960;A#,Bb;I Just Wasn't Made For These Times - Stereo;29;32.0
46831;The Beach Boys;UK;1960;A#,Bb;I Just Wasn't Made For These Times - Remastered;112;122.0
46830;The Beach Boys;UK;1960;A#,Bb;I Just Wasn't Made For These Times - Mono;30;33.0
26025;Jerry Lee Lewis;USA;1960;G;Breathless;34;37.0
46829;The Beach Boys;UK;1960;A#,Bb;Hang On To Your Ego;43;47.0
26024;Jerry Lee Lewis;USA;1960;F;You Win Again - 1964 Version;22;24.0
26022;Jerry Lee Lewis;USA;1960;F;Whole Lotta Shakin' Goin' On - Live At The Star-Club, Hamburg, Germany/1964;19;21.0
33277;Little Eva;UK;1960;A;Down Home;11;13.0
25994;Jerry Lee Lewis;USA;1960;C;Great Balls of Fire;51;55.0
25995;Jerry Lee Lewis;USA;1960;C;Hillbilly Fever;15;17.0
25996;Jerry Lee Lewis;USA;1960;C;Lewis Boogie;34;37.0
25997;Jerry Lee Lewis;USA;1960;C;Lewis' Boogie - Live At The Star-Club, Hamburg, Germany/1964;17;19.0
25998;Jerry Lee Lewis;USA;1960;C;Setting the Woods On Fire;27;30.0
25999;Jerry Lee Lewis;USA;1960;C;What'd I Say;18;20.0
26000;Jerry Lee Lewis;USA;1960;C;What's Made Milwaukee Famous (Has Made A Loser Out Of Me);36;39.0
26001;Jerry Lee Lewis;USA;1960;C;Whole Lotta Shakin' Going On;46;50.0
26002;Jerry Lee Lewis;USA;1960;C;Your Cheatin' Heart - 1964 Version;27;30.0
26003;Jerry Lee Lewis;USA;1960;C;Your Cheating Heart;11;13.0
26004;Jerry Lee Lewis;USA;1960;C;Your Cheating Heart - Live At The Star-Club, Hamburg, Germany/1964;16;18.0
26005;Jerry Lee Lewis;USA;1960;D;Hello Hello Baby;14;16.0
26006;Jerry Lee Lewis;USA;1960;D;Hello Josephine;27;30.0
26007;Jerry Lee Lewis;USA;1960;D;King Of The Road;18;20.0
26008;Jerry Lee Lewis;USA;1960;D;Let's Talk About Us;14;16.0
26009;Jerry Lee Lewis;USA;1960;D;Money - Live At The Star-Club, Hamburg, Germany/1964;19;21.0
26010;Jerry Lee Lewis;USA;1960;E;End Of The Road - 1964 Version;23;25.0
26011;Jerry Lee Lewis;USA;1960;F;As Long as I Live;18;20.0
26012;Jerry Lee Lewis;USA;1960;F;Cold, Cold Heart;15;17.0
26013;Jerry Lee Lewis;USA;1960;F;Crazy Arms - 1964 Version;22;24.0
26014;Jerry Lee Lewis;USA;1960;F;Fools Like Me - 1964 Version;21;23.0
26015;Jerry Lee Lewis;USA;1960;F;High School Confidential - 1964 Version;28;31.0
26016;Jerry Lee Lewis;USA;1960;F;High School Confidential - Live At The Star-Club, Hamburg, Germany/1964;19;21.0
26017;Jerry Lee Lewis;USA;1960;F;Home;13;15.0
26018;Jerry Lee Lewis;USA;1960;F;Jambalaya;11;13.0
26019;Jerry Lee Lewis;USA;1960;F;Lovesick Blues;13;15.0
26020;Jerry Lee Lewis;USA;1960;F;Save the Last Dance For Me;33;36.0
26021;Jerry Lee Lewis;USA;1960;F;Whole Lotta Shakin' Goin' On;35;38.0
26023;Jerry Lee Lewis;USA;1960;F;You Win Again;11;13.0
43385;Roy Clark;UK;1960;C;In The Mood;15;17.0
46828;The Beach Boys;UK;1960;A#,Bb;Good Vibrations - Remastered;72;78.0
46826;The Beach Boys;UK;1960;A#,Bb;Girls On the Beach (Mono);26;29.0
26228;Jim Reeves;UK;1960;C;Jingle Bells;19;21.0
26229;Jim Reeves;UK;1960;D;Distant Drums;36;39.0
26230;Jim Reeves;UK;1960;D;This Is It;16;18.0
26231;Jim Reeves;UK;1960;D#,Eb;Memories Are Made of This;39;42.0
26232;Jim Reeves;UK;1960;F;I Love You Because;53;57.0
26233;Jim Reeves;UK;1960;G;May The Good Lord Bless and Keep You;23;25.0
26234;Jim Reeves;UK;1960;G;The One That Got Away;20;22.0
26235;Jim Reeves;UK;1960;G;Waltzing on Top of the World;37;40.0
26236;Jim Reeves;UK;1960;G#,Ab;After Loving You;22;24.0
26247;Jim Reeves;USA;1960;A;Beyond The Clouds;34;37.0
26248;Jim Reeves;USA;1960;A;Not Until the Next Time;22;24.0
26249;Jim Reeves;USA;1960;A;There's a Heartache Following Me;26;29.0
26250;Jim Reeves;USA;1960;A;When You Are Gone;29;32.0
26251;Jim Reeves;USA;1960;A#,Bb;I'd Fight the World;21;23.0
26252;Jim Reeves;USA;1960;A#,Bb;Just Out of Reach;21;23.0
26253;Jim Reeves;USA;1960;A#,Bb;Roses Are Red (My Love);41;45.0
26254;Jim Reeves;USA;1960;A#,Bb;Where Do I Go to Throw a Picture Away;35;38.0
26255;Jim Reeves;USA;1960;B;Guilty;20;22.0
26256;Jim Reeves;USA;1960;B;Snow Flake;20;22.0
26257;Jim Reeves;USA;1960;C;Jingle Bells;19;21.0
26258;Jim Reeves;USA;1960;D;Distant Drums;36;39.0
26259;Jim Reeves;USA;1960;D;This Is It;16;18.0
26260;Jim Reeves;USA;1960;D#,Eb;Memories Are Made of This;39;42.0
26261;Jim Reeves;USA;1960;F;I Love You Because;53;57.0
26262;Jim Reeves;USA;1960;G;May The Good Lord Bless and Keep You;23;25.0
43365;Rosemary Clooney;USA;1960;A#,Bb;Beautiful Brown Eyes;19;21.0
43366;Rosemary Clooney;USA;1960;C;For You;14;16.0
43382;Roy Clark;UK;1960;A;Drifter's Polka;15;17.0
43383;Roy Clark;UK;1960;A#,Bb;Weepin' Willow Twist;13;15.0
26227;Jim Reeves;UK;1960;B;Snow Flake;20;22.0
46827;The Beach Boys;UK;1960;A#,Bb;Good Vibrations (Stereo);38;41.0
26226;Jim Reeves;UK;1960;B;Guilty;20;22.0
26224;Jim Reeves;UK;1960;A#,Bb;Roses Are Red (My Love);41;45.0
46825;The Beach Boys;UK;1960;A#,Bb;Don't Hurt My Little Sister - Remastered;23;25.0
46824;The Beach Boys;UK;1960;A#,Bb;Don't Hurt My Little Sister (Stereo);13;15.0
46823;The Beach Boys;UK;1960;A#,Bb;Don't Hurt My Little Sister (Mono);16;18.0
46822;The Beach Boys;UK;1960;A#,Bb;Do You Wanna Dance? - Remastered;30;33.0
46821;The Beach Boys;UK;1960;A#,Bb;Do You Wanna Dance? (Stereo);24;27.0
46820;The Beach Boys;UK;1960;A#,Bb;Do You Wanna Dance? (Mono);22;24.0
46819;The Beach Boys;UK;1960;A#,Bb;Custom Machine - Remastered 2001;16;18.0
46818;The Beach Boys;UK;1960;A#,Bb;Custom Machine (Mono);14;16.0
46817;The Beach Boys;UK;1960;A#,Bb;Caroline, No - Stereo;28;31.0
46816;The Beach Boys;UK;1960;A#,Bb;Caroline, No - Remastered;110;120.0
46815;The Beach Boys;UK;1960;A#,Bb;Caroline, No - Mono;28;31.0
46814;The Beach Boys;UK;1960;A#,Bb;Caroline, No - Instrumental Stereo Mix;21;23.0
46813;The Beach Boys;UK;1960;A#,Bb;Caroline, No;31;34.0
46812;The Beach Boys;UK;1960;A#,Bb;Be With Me - Remastered 2001;24;27.0
46811;The Beach Boys;UK;1960;A#,Bb;Be True to Your School (Stereo);19;21.0
46810;The Beach Boys;UK;1960;A#,Bb;Be True to Your School (Mono);20;22.0
46809;The Beach Boys;UK;1960;A#,Bb;Be True To Your School;34;37.0
46808;The Beach Boys;UK;1960;A#,Bb;"""Cassius"" Love Vs. ""Sonny"" Wilson - Remastered 2001";19;21.0
46807;The Beach Boys;UK;1960;A;Your Summer Dream - Remastered 2001;39;42.0
46806;The Beach Boys;UK;1960;A;Your Summer Dream (Stereo);23;25.0
46805;The Beach Boys;UK;1960;A;Your Summer Dream (Mono);35;38.0
46804;The Beach Boys;UK;1960;A;Wonderful - 2001 Remaster;29;32.0
46803;The Beach Boys;UK;1960;A;Wind Chimes - 2001 Remaster;42;46.0
26218;Jim Reeves;UK;1960;A;Beyond The Clouds;34;37.0
26219;Jim Reeves;UK;1960;A;Not Until the Next Time;22;24.0
